participant,daysBetween,condition,stimuliType,stimSet,meanValenceRating,meanArousalRating,meanValenceRT,meanArousalRT,meanZValenceRating,meanZArousalRating,Ntrial,KVIQ_Visual_Score,KVIQ_Kinesthetic_Score,GoldMSI_ActiveEngagement_63,GoldMSI_PerceptualAbilities_63,GoldMSI_MusicalTraining_49,GoldMSI_Emotions_42,GoldMSI_SingingAbilities_49,GoldMSI_GeneralMusicalSophistication_126
P13,3,Active,Low Valence - High Arousal,Set2,3.5,6.25,6.050101038,2.106090863,-0.965752763,0.313121891,8,16,18,49,42,19,27,29,78
P13,3,Active,Low Valence - Low Arousal,Set2,4.125,4.125,2.8992887,1.9376583,-0.661578664,-0.751492539,8,16,18,49,42,19,27,29,78
P13,3,Sham,High Valence - High Arousal,Set2,7.125,7.25,2.210123038,4.422090287,0.798457008,0.814116917,8,16,18,49,42,19,27,29,78
P13,3,Sham,High Valence - Low Arousal,Set2,6.5,4.5,2.591264775,4.532867762,0.49428291,-0.563619404,8,16,18,49,42,19,27,29,78
P13,3,Sham,Low Valence - High Arousal,Set2,3.75,7.75,2.388253113,3.507590325,-0.844083123,1.06461443,8,16,18,49,42,19,27,29,78
P13,3,Sham,Low Valence - Low Arousal,Set2,4,3.625,2.563965525,3.7217355,-0.722413484,-1.001990052,8,16,18,49,42,19,27,29,78
P17,7,Active,High Valence - High Arousal,Set2,8.125,7.375,1.372985013,3.670977388,1.057532627,0.677707009,8,24,25,31,42,12,31,30,63
P17,7,Active,High Valence - Low Arousal,Set2,7.25,5.25,1.3891708,4.01810335,0.715209927,-0.292484077,8,24,25,31,42,12,31,30,63
P17,7,Active,Low Valence - High Arousal,Set2,2.75,6.875,3.019686775,3.140691762,-1.045306816,0.449426753,8,24,25,31,42,12,31,30,63
P17,7,Active,Low Valence - Low Arousal,Set2,4.25,3.25,1.69087825,2.820243225,-0.458467902,-1.2056051,8,24,25,31,42,12,31,30,63
P17,7,Sham,High Valence - High Arousal,Set2,8.25,7.5,4.120282562,2.462186225,1.106435869,0.734777073,8,24,25,31,42,12,31,30,63
P17,7,Sham,High Valence - Low Arousal,Set2,6.375,5.75,4.836919963,2.349946062,0.372887227,-0.064203822,8,24,25,31,42,12,31,30,63
