"participant"	"condition"	"stimuliType"	"stimSet"	"meanValenceRating"	"meanArousalRating"	"meanValenceRT"	"meanArousalRT"	"meanZValenceRating"	"meanZArousalRating"	"Ntrial"
"P04"	"Active"	"High Valence - High Arousal"	"Set2"	8	8.125	4.34684651240241	2.05132400000002	0.878653069463227	0.943987775184992	8
"P04"	"Active"	"High Valence - Low Arousal"	"Set2"	6.875	4.625	5.88047126238234	2.40234630007762	0.426774348024996	-0.510965859962519	8
"P04"	"Active"	"Low Valence - High Arousal"	"Set2"	3.375	7.375	2.70145358744776	2.07878463744419	-0.979070563116168	0.632211996224811	8
"P04"	"Active"	"Low Valence - Low Arousal"	"Set2"	4.25	4.375	3.70109229988884	2.41663334995974	-0.627609335330877	-0.614891119615912	8
"P04"	"Sham"	"High Valence - High Arousal"	"Set2"	7.66666666666667	7.66666666666667	1.81410485005472	2.5649840500749	0.744763077925974	0.753458132487103	6
"P04"	"Sham"	"High Valence - Low Arousal"	"Set2"	5.5	3.5	3.43030594999436	4.12517419992946	-0.125521867066175	-0.97862952840279	2
"P04"	"Sham"	"Low Valence - High Arousal"	"Set2"	5	7	2.47749910014682	2.4349271999672	-0.326356854372056	0.47632410674472	1
"P04"	"Sham"	"Low Valence - Low Arousal"	"Set2"	5.28571428571429	3.57142857142857	3.1226056999793	2.94434190005995	-0.211594004482981	-0.948936597073249	7
"P10"	"Active"	"High Valence - High Arousal"	"Set1"	7.25	7.875	2.44723328753025	1.02195627501351	1.21334016534887	0.955181508543028	8
"P10"	"Active"	"High Valence - Low Arousal"	"Set1"	4.125	2.375	2.29857206245651	1.37131702507031	-0.00609718676054705	-1.0343089707892	8
"P10"	"Active"	"Low Valence - High Arousal"	"Set1"	1.875	7.5	2.08203348753159	1.24777969997376	-0.884092080279328	0.81953443040674	8
"P10"	"Active"	"Low Valence - Low Arousal"	"Set1"	2.375	4.125	1.67566365009407	0.89344933751272	-0.688982103941821	-0.401289272819852	8
"P10"	"Sham"	"High Valence - High Arousal"	"Set1"	7.5	6.875	1.41411457490176	3.31591813749401	1.31089515351762	0.59345596684626	8
"P10"	"Sham"	"High Valence - Low Arousal"	"Set1"	4.5	3.25	2.35642572498182	3.02224821248092	0.140235295492583	-0.717799121804524	8
"P10"	"Sham"	"Low Valence - High Arousal"	"Set1"	3	6.25	3.90034222503891	4.05589411250548	-0.445094633519937	0.36737750328578	8
"P10"	"Sham"	"Low Valence - Low Arousal"	"Set1"	2.5	3.625	1.38114176254021	3.93403544998728	-0.640204609857444	-0.582152043668236	8
"P11"	"Active"	"High Valence - High Arousal"	"Set2"	7.66666666666667	7.83333333333333	2.24305376689881	4.67462481666977	1.04260926901231	0.931488863191707	6
"P11"	"Active"	"High Valence - Low Arousal"	"Set2"	6.5	3.75	2.64432401256636	7.26956221251749	0.569738805927262	-0.65375135811161	8
"P11"	"Active"	"Low Valence - High Arousal"	"Set2"	3.66666666666667	7.66666666666667	2.30801556662967	3.345651099924	-0.578660890136414	0.86678518068953	3
"P11"	"Active"	"Low Valence - Low Arousal"	"Set2"	2.75	2.25	3.37675067491364	4.21116012486164	-0.950201968274662	-1.2360845006312	4
"P11"	"Sham"	"High Valence - High Arousal"	"Set2"	7.5	8.125	2.19318915000019	0.847034199999939	0.975056345714442	1.04472030757051	8
"P11"	"Sham"	"High Valence - Low Arousal"	"Set2"	6.125	4.25	4.64091048749987	2.2248490624998	0.41774472850707	-0.459640310605082	8
"P11"	"Sham"	"Low Valence - High Arousal"	"Set2"	2.5	7.375	1.9711885375001	0.998333699999989	-1.05153135322146	0.753553736310722	8
"P11"	"Sham"	"Low Valence - Low Arousal"	"Set2"	2.625	2.625	4.44227804999997	2.76500466250008	-1.00086666074806	-1.0905012150013	8
"P12"	"Active"	"High Valence - High Arousal"	"Set1"	7.75	7.125	3.60232802499377	1.75423078749373	1.11115065497614	1.33192917899465	8
"P12"	"Active"	"High Valence - Low Arousal"	"Set1"	6.75	3.375	4.23612486249112	2.82446283750323	0.672177556713963	-0.691254384035196	8
"P12"	"Active"	"Low Valence - High Arousal"	"Set1"	3.125	5.125	2.24402597499648	3.59523861249545	-0.919099924486438	0.25289794537873	8
"P12"	"Active"	"Low Valence - Low Arousal"	"Set1"	3.375	3.75	3.76360656249381	3.54382809999515	-0.809356649920894	-0.488936027732211	8
"P12"	"Sham"	"High Valence - High Arousal"	"Set1"	7.625	7	2.24630989999423	3.41025515000365	1.05627901769337	1.26448972689365	8
"P12"	"Sham"	"High Valence - Low Arousal"	"Set1"	6.625	3	3.00348488748568	2.82043313749455	0.61730591943119	-0.89357274033818	8
"P12"	"Sham"	"Low Valence - High Arousal"	"Set1"	3	4.625	3.46840996248648	4.39100766251067	-0.973971561769211	-0.0168598630252487	8
"P12"	"Sham"	"Low Valence - Low Arousal"	"Set1"	3.5	3.25	2.06905996250862	3.32091022499662	-0.754485012638121	-0.75869383613619	8
"P13"	"Active"	"High Valence - High Arousal"	"Set2"	7.625	7.375	2.28624336249777	0.547383874989464	1.04179628714374	0.876741295254638	8
"P13"	"Active"	"High Valence - Low Arousal"	"Set2"	7.25	4.125	3.40671305001888	1.81858333750279	0.859291828082062	-0.75149253878969	8
"P13"	"Active"	"Low Valence - High Arousal"	"Set2"	3.5	6.25	6.05010103750101	2.1060908625077	-0.965752762534707	0.313121891162371	8
"P13"	"Active"	"Low Valence - Low Arousal"	"Set2"	4.125	4.125	2.89928870002041	1.93765829999757	-0.661578664098579	-0.75149253878969	8
"P13"	"Sham"	"High Valence - High Arousal"	"Set2"	7.125	7.25	2.21012303751922	4.42209028749494	0.798457008394836	0.814116917022164	8
"P13"	"Sham"	"High Valence - Low Arousal"	"Set2"	6.5	4.5	2.59126477499376	4.53286776249297	0.494282909958708	-0.563619404092268	8
"P13"	"Sham"	"Low Valence - High Arousal"	"Set2"	3.75	7.75	2.38825311250548	3.50759032499627	-0.844083123160255	1.06461442995206	8
"P13"	"Sham"	"Low Valence - Low Arousal"	"Set2"	4	3.625	2.56396552499791	3.72173550001025	-0.722413483785804	-1.00199005171959	8
"P17"	"Active"	"High Valence - High Arousal"	"Set2"	8.125	7.375	1.37298501253827	3.6709773875773	1.05753262655818	0.677707008813365	8
